elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
667.0,1920-01-01,2024-01-01,40.4117,"MADRID RETIRO, SP",0.9612,GHCND:SP000003195,METERS,-3.6781
185.0,1955-01-01,2024-01-01,38.8831,"BADAJOZ TALAVERA LA REAL, SP",0.9993,GHCND:SP000004452,METERS,-6.8292
7.0,1943-01-01,2024-01-01,36.6667,"MALAGA AEROPUERTO, SP",0.9993,GHCND:SP000006155,METERS,-4.4881
251.0,1918-01-01,2024-01-01,43.3075,"SAN SEBASTIAN IGUELDO, SP",0.9059,GHCND:SP000008027,METERS,-2.0392
4.0,1925-01-01,2024-01-01,41.2928,"BARCELONA AEROPUERTO, SP",0.8594,GHCND:SP000008181,METERS,2.0697
790.0,1945-01-01,2024-01-01,40.9592,"SALAMANCA AEROPUERTO, SP",0.9993,GHCND:SP000008202,METERS,-5.4981
1894.0,1946-01-01,2024-01-01,40.7806,"NAVACERRADA, SP",0.9993,GHCND:SP000008215,METERS,-4.0103
704.0,1901-01-01,2024-01-01,38.9519,"ALBACETE LOS LLANOS, SP",0.7898,GHCND:SP000008280,METERS,-1.8631
90.0,1960-01-01,2024-01-01,37.8442,"CORDOBA AEROPUERTO, SP",0.907,GHCND:SP000008410,METERS,-4.8458
247.0,1941-01-01,2024-01-01,41.6617,"ZARAGOZA AEROPUERTO, SP",0.8804,GHCND:SP000009434,METERS,-1.0081
44.0,1905-01-01,2024-01-01,40.8206,"TORTOSA OBSERVATORIO DEL EBR, SP",0.991,GHCND:SP000009981,METERS,0.4914
2371.0,1920-01-01,2024-01-01,28.3089,"IZANA, SP",0.9803,GHCND:SP000060010,METERS,-16.4992
14.0,1973-01-01,2024-01-01,28.9517,"LANZAROTE AEROPUERTO, SP",0.9993,GHCND:SP000060040,METERS,-13.6003
58.0,1931-01-01,2024-01-01,43.3669,"A CORUNA, SP",0.9568,GHCND:SPE00119711,METERS,-8.4192
98.0,1972-01-01,2024-01-01,43.3067,"A CORUNA ALVEDRO, SP",0.9427,GHCND:SPE00119720,METERS,-8.3719
370.0,1944-01-01,2024-01-01,42.8878,"SANTIAGO DE COMPOSTELA LABACOL, SP",0.9376,GHCND:SPE00119729,METERS,-8.4106
521.0,1946-01-01,1979-01-01,42.8506,"VITORIA AERODROMO, SP",0.9112,GHCND:SPE00119738,METERS,-2.6544
513.0,1976-01-01,2024-01-01,42.8717,"VITORIA FORONDA, SP",0.9381,GHCND:SPE00119747,METERS,-2.7331
674.0,1983-01-01,2024-01-01,39.0067,"ALBACETE OBS., SP",0.9993,GHCND:SPE00119756,METERS,-1.8606
7.0,1934-01-01,1980-01-01,36.8331,"ALMERIA, SP",0.893,GHCND:SPE00119774,METERS,-2.4544
21.0,1969-01-01,2024-01-01,36.8464,"ALMERIA AEROPUERTO, SP",0.9993,GHCND:SPE00119783,METERS,-2.3567
127.0,1969-01-01,2024-01-01,43.5667,"ASTURIAS AVILES, SP",0.9815,GHCND:SPE00119792,METERS,-6.0442
22.0,1939-01-01,2000-01-01,43.5381,"GIJON LA MERCED, SP",0.9993,GHCND:SPE00119801,METERS,-5.6417
5.0,2002-01-01,2024-01-01,43.5606,"GIJON MUSEL, SP",0.9993,GHCND:SPE00119819,METERS,-5.6983
336.0,1973-01-01,2022-01-01,43.3542,"OVIEDO, SP",0.9993,GHCND:SPE00119828,METERS,-5.8728
1130.0,1985-01-01,2024-01-01,40.6592,"AVILA, SP",0.9993,GHCND:SPE00119837,METERS,-4.68
1143.0,1955-01-01,1982-01-01,40.6556,"AVILA AYUNTAMIENTO, SP",0.8209,GHCND:SPE00119846,METERS,-4.6992
6.0,1944-01-01,2024-01-01,38.8764,"IBIZA ESCODOLA, SP",0.6538,GHCND:SPE00119855,METERS,1.3842
91.0,1965-01-01,2024-01-01,39.8544,"MENORCA MAO, SP",0.9493,GHCND:SPE00119864,METERS,4.2156
3.0,1973-01-01,2024-01-01,39.5556,"PALMA DE MALLORCA CMT, SP",0.9609,GHCND:SPE00119882,METERS,2.6264
890.0,1944-01-01,2024-01-01,42.3558,"BURGOS VILLAFRIA, SP",0.987,GHCND:SPE00119909,METERS,-3.6325
405.0,1977-01-01,2015-01-01,39.4719,"CACERES, SP",0.6919,GHCND:SPE00119918,METERS,-6.3392
1.0,1956-01-01,2024-01-01,36.5008,"CADIZ, SP",0.811,GHCND:SPE00119936,METERS,-6.2567
27.0,1954-01-01,2024-01-01,36.7506,"JEREZ DE LA FRONTERA, SP",0.9289,GHCND:SPE00119945,METERS,-6.0556
21.0,1989-01-01,2024-01-01,36.6389,"ROTA, SP",0.9716,GHCND:SPE00119954,METERS,-6.3317
