OMIE - Mercado de electricidad;Fecha Emisión :31/01/2024 - 15:07;;01/02/2024;M.Intradiario para el día, sesión - Nº 1;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;01/02/2024;MI;WMVD101;C;0,2;1.002,00;O;
1;01/02/2024;MI;WMVD147;C;0,1;1.002,00;O;
1;01/02/2024;MI;IBEVD15;C;2,0;801,00;O;
1;01/02/2024;MI;IBEVD14;C;2,0;801,00;O;
1;01/02/2024;MI;NXVD219;C;49,5;700,00;O;
1;01/02/2024;MI;NXVD289;C;0,1;700,00;O;
1;01/02/2024;MI;NXVD287;C;0,1;700,00;O;
1;01/02/2024;MI;NXVD152;C;0,1;700,00;O;
1;01/02/2024;MI;NEXVD23;C;12,5;700,00;O;
1;01/02/2024;MI;NEXVD25;C;8,3;700,00;O;
1;01/02/2024;MI;NXVD112;C;0,1;700,00;O;
1;01/02/2024;MI;NEXVD36;C;17,9;700,00;O;
1;01/02/2024;MI;ADURC01;C;0,5;650,00;O;
1;01/02/2024;MI;CAMG20X;C;0,4;600,00;O;
1;01/02/2024;MI;WMVD183;C;0,1;600,00;O;
1;01/02/2024;MI;EGLEC01;C;23,3;500,00;O;
1;01/02/2024;MI;EGVD288;C;0,2;500,00;O;
1;01/02/2024;MI;EGVD293;C;0,4;500,00;O;
1;01/02/2024;MI;EGVD290;C;0,1;500,00;O;
1;01/02/2024;MI;EGVD083;C;0,3;500,00;O;
1;01/02/2024;MI;EGVD379;C;0,3;500,00;O;
1;01/02/2024;MI;EGVD086;C;0,1;500,00;O;
1;01/02/2024;MI;EGVD183;C;0,1;500,00;O;
1;01/02/2024;MI;EGVD064;C;0,5;500,00;O;
1;01/02/2024;MI;EGVD248;C;0,1;500,00;O;
1;01/02/2024;MI;GALVD30;C;49,9;500,00;O;
1;01/02/2024;MI;GALVD29;C;49,9;500,00;O;
1;01/02/2024;MI;EGLEVD1;C;0,1;500,00;O;
1;01/02/2024;MI;EGVD454;C;0,4;500,00;O;
1;01/02/2024;MI;EGVD121;C;7,5;500,00;O;
1;01/02/2024;MI;EGVD089;C;0,1;500,00;O;
1;01/02/2024;MI;EGVD024;C;2,1;500,00;O;
1;01/02/2024;MI;EGEDVD4;C;0,3;451,00;O;
1;01/02/2024;MI;EGEDRE5;C;0,6;451,00;O;
1;01/02/2024;MI;EGEDRE3;C;0,3;451,00;O;
1;01/02/2024;MI;EBLVD41;C;0,1;400,00;O;
1;01/02/2024;MI;EBLVD40;C;0,1;400,00;O;
1;01/02/2024;MI;EBLVD56;C;0,1;400,00;O;
1;01/02/2024;MI;SESVD05;C;0,2;400,00;O;
1;01/02/2024;MI;SESVD02;C;0,1;400,00;O;
1;01/02/2024;MI;EBLVD62;C;0,1;400,00;O;
1;01/02/2024;MI;TLCMC01;C;7,8;400,00;O;
1;01/02/2024;MI;EBLVD49;C;0,3;400,00;O;
1;01/02/2024;MI;CEVD398;C;0,1;350,00;O;
1;01/02/2024;MI;CEVD399;C;0,1;350,00;O;
1;01/02/2024;MI;ADXVD04;C;0,1;350,00;O;
1;01/02/2024;MI;CEVD004;C;0,1;350,00;O;
1;01/02/2024;MI;CEVD281;C;0,2;350,00;O;
1;01/02/2024;MI;CEVD266;C;0,3;350,00;O;
1;01/02/2024;MI;CEVD284;C;0,2;350,00;O;
1;01/02/2024;MI;CEVD327;C;7,0;350,00;O;
1;01/02/2024;MI;CEVD376;C;0,1;350,00;O;
1;01/02/2024;MI;FORTC01;C;3,7;300,30;O;
1;01/02/2024;MI;CONEC01;C;1,0;300,00;O;
1;01/02/2024;MI;EFGC01;C;15,0;300,00;O;
1;01/02/2024;MI;ICGAC01;C;12,3;300,00;O;
1;01/02/2024;MI;GALVD28;C;15,7;300,00;O;
1;01/02/2024;MI;VGERE17;C;1,0;300,00;O;
1;01/02/2024;MI;VIEECA1;C;83,4;300,00;O;
1;01/02/2024;MI;TEXZC01;C;1,0;300,00;O;
1;01/02/2024;MI;EGLEC01;C;2,2;274,09;O;
1;01/02/2024;MI;IGNVD82;C;0,4;268,35;O;
1;01/02/2024;MI;IGNVD78;C;1,3;268,35;O;
1;01/02/2024;MI;IGNVD79;C;1,0;268,35;O;
1;01/02/2024;MI;IGNVD81;C;0,3;268,35;O;
1;01/02/2024;MI;IGNVD80;C;0,5;268,35;O;
1;01/02/2024;MI;ASIVD05;C;3,0;220,00;O;
1;01/02/2024;MI;ASIVD06;C;46,2;220,00;O;
1;01/02/2024;MI;ASIVD02;C;13,0;220,00;O;
1;01/02/2024;MI;ASIVD01;C;2,7;220,00;O;
1;01/02/2024;MI;ASIVD03;C;0,1;220,00;O;
1;01/02/2024;MI;CELSR01;C;80,0;200,00;O;
1;01/02/2024;MI;GNRVD31;C;0,2;200,00;O;
1;01/02/2024;MI;GNRVD13;C;0,1;200,00;O;
1;01/02/2024;MI;GNVD130;C;2,4;200,00;O;
1;01/02/2024;MI;EGLRM01;C;1,1;200,00;O;
1;01/02/2024;MI;GNVD150;C;0,1;200,00;O;
1;01/02/2024;MI;SOCRC05;C;0,1;190,00;O;
1;01/02/2024;MI;IGNVD64;C;2,3;169,00;O;
1;01/02/2024;MI;IGNVD67;C;3,8;169,00;O;
1;01/02/2024;MI;LMERC01;C;4,3;150,00;O;
1;01/02/2024;MI;CENTC01;C;5,0;128,69;O;
1;01/02/2024;MI;WMVD184;C;2,1;119,00;O;
1;01/02/2024;MI;WMVD088;C;5,1;119,00;O;
1;01/02/2024;MI;CEVD307;C;0,3;118,69;O;
1;01/02/2024;MI;CEVD335;C;1,0;118,69;O;
1;01/02/2024;MI;CEVD308;C;0,2;118,69;O;
1;01/02/2024;MI;CEVD234;C;0,2;118,69;O;
1;01/02/2024;MI;CEVD309;C;0,2;118,69;O;
1;01/02/2024;MI;SEDVD06;C;0,6;106,95;O;
1;01/02/2024;MI;DETVD37;C;0,1;106,95;O;
