Hora,Fecha,Pais,Unidad,Tipo_Oferta,Energía_Compra_Venta,Precio_Compra_Venta,Ofertada_Casada
1,2024-02-01,MI,WMVD101,C,0.2,1002.0,O
1,2024-02-01,MI,WMVD147,C,0.1,1002.0,O
1,2024-02-01,MI,IBEVD15,C,2.0,801.0,O
1,2024-02-01,MI,IBEVD14,C,2.0,801.0,O
1,2024-02-01,MI,NXVD219,C,49.5,700.0,O
1,2024-02-01,MI,NXVD289,C,0.1,700.0,O
1,2024-02-01,MI,NXVD287,C,0.1,700.0,O
1,2024-02-01,MI,NXVD152,C,0.1,700.0,O
1,2024-02-01,MI,NEXVD23,C,12.5,700.0,O
1,2024-02-01,MI,NEXVD25,C,8.3,700.0,O
1,2024-02-01,MI,NXVD112,C,0.1,700.0,O
1,2024-02-01,MI,NEXVD36,C,17.9,700.0,O
1,2024-02-01,MI,ADURC01,C,0.5,650.0,O
1,2024-02-01,MI,CAMG20X,C,0.4,600.0,O
1,2024-02-01,MI,WMVD183,C,0.1,600.0,O
1,2024-02-01,MI,EGLEC01,C,23.3,500.0,O
1,2024-02-01,MI,EGVD288,C,0.2,500.0,O
1,2024-02-01,MI,EGVD293,C,0.4,500.0,O
1,2024-02-01,MI,EGVD290,C,0.1,500.0,O
1,2024-02-01,MI,EGVD083,C,0.3,500.0,O
1,2024-02-01,MI,EGVD379,C,0.3,500.0,O
1,2024-02-01,MI,EGVD086,C,0.1,500.0,O
1,2024-02-01,MI,EGVD183,C,0.1,500.0,O
1,2024-02-01,MI,EGVD064,C,0.5,500.0,O
1,2024-02-01,MI,EGVD248,C,0.1,500.0,O
1,2024-02-01,MI,GALVD30,C,49.9,500.0,O
1,2024-02-01,MI,GALVD29,C,49.9,500.0,O
1,2024-02-01,MI,EGLEVD1,C,0.1,500.0,O
1,2024-02-01,MI,EGVD454,C,0.4,500.0,O
1,2024-02-01,MI,EGVD121,C,7.5,500.0,O
1,2024-02-01,MI,EGVD089,C,0.1,500.0,O
1,2024-02-01,MI,EGVD024,C,2.1,500.0,O
1,2024-02-01,MI,EGEDVD4,C,0.3,451.0,O
1,2024-02-01,MI,EGEDRE5,C,0.6,451.0,O
1,2024-02-01,MI,EGEDRE3,C,0.3,451.0,O
1,2024-02-01,MI,EBLVD41,C,0.1,400.0,O
1,2024-02-01,MI,EBLVD40,C,0.1,400.0,O
1,2024-02-01,MI,EBLVD56,C,0.1,400.0,O
1,2024-02-01,MI,SESVD05,C,0.2,400.0,O
1,2024-02-01,MI,SESVD02,C,0.1,400.0,O
1,2024-02-01,MI,EBLVD62,C,0.1,400.0,O
1,2024-02-01,MI,TLCMC01,C,7.8,400.0,O
1,2024-02-01,MI,EBLVD49,C,0.3,400.0,O
1,2024-02-01,MI,CEVD398,C,0.1,350.0,O
1,2024-02-01,MI,CEVD399,C,0.1,350.0,O
1,2024-02-01,MI,ADXVD04,C,0.1,350.0,O
1,2024-02-01,MI,CEVD004,C,0.1,350.0,O
1,2024-02-01,MI,CEVD281,C,0.2,350.0,O
1,2024-02-01,MI,CEVD266,C,0.3,350.0,O
1,2024-02-01,MI,CEVD284,C,0.2,350.0,O
1,2024-02-01,MI,CEVD327,C,7.0,350.0,O
1,2024-02-01,MI,CEVD376,C,0.1,350.0,O
1,2024-02-01,MI,FORTC01,C,3.7,300.3,O
1,2024-02-01,MI,CONEC01,C,1.0,300.0,O
1,2024-02-01,MI,EFGC01,C,15.0,300.0,O
1,2024-02-01,MI,ICGAC01,C,12.3,300.0,O
1,2024-02-01,MI,GALVD28,C,15.7,300.0,O
1,2024-02-01,MI,VGERE17,C,1.0,300.0,O
1,2024-02-01,MI,VIEECA1,C,83.4,300.0,O
1,2024-02-01,MI,TEXZC01,C,1.0,300.0,O
1,2024-02-01,MI,EGLEC01,C,2.2,274.09,O
1,2024-02-01,MI,IGNVD82,C,0.4,268.35,O
1,2024-02-01,MI,IGNVD78,C,1.3,268.35,O
1,2024-02-01,MI,IGNVD79,C,1.0,268.35,O
1,2024-02-01,MI,IGNVD81,C,0.3,268.35,O
1,2024-02-01,MI,IGNVD80,C,0.5,268.35,O
1,2024-02-01,MI,ASIVD05,C,3.0,220.0,O
1,2024-02-01,MI,ASIVD06,C,46.2,220.0,O
1,2024-02-01,MI,ASIVD02,C,13.0,220.0,O
1,2024-02-01,MI,ASIVD01,C,2.7,220.0,O
1,2024-02-01,MI,ASIVD03,C,0.1,220.0,O
1,2024-02-01,MI,CELSR01,C,80.0,200.0,O
1,2024-02-01,MI,GNRVD31,C,0.2,200.0,O
1,2024-02-01,MI,GNRVD13,C,0.1,200.0,O
1,2024-02-01,MI,GNVD130,C,2.4,200.0,O
1,2024-02-01,MI,EGLRM01,C,1.1,200.0,O
1,2024-02-01,MI,GNVD150,C,0.1,200.0,O
1,2024-02-01,MI,SOCRC05,C,0.1,190.0,O
1,2024-02-01,MI,IGNVD64,C,2.3,169.0,O
1,2024-02-01,MI,IGNVD67,C,3.8,169.0,O
1,2024-02-01,MI,LMERC01,C,4.3,150.0,O
1,2024-02-01,MI,CENTC01,C,5.0,128.69,O
1,2024-02-01,MI,WMVD184,C,2.1,119.0,O
1,2024-02-01,MI,WMVD088,C,5.1,119.0,O
1,2024-02-01,MI,CEVD307,C,0.3,118.69,O
1,2024-02-01,MI,CEVD335,C,1.0,118.69,O
1,2024-02-01,MI,CEVD308,C,0.2,118.69,O
1,2024-02-01,MI,CEVD234,C,0.2,118.69,O
1,2024-02-01,MI,CEVD309,C,0.2,118.69,O
1,2024-02-01,MI,SEDVD06,C,0.6,106.95,O
1,2024-02-01,MI,DETVD37,C,0.1,106.95,O
1,2024-02-01,MI,DETVD09,C,0.1,106.95,O
1,2024-02-01,MI,ENRVD09,C,2.0,103.5,O
1,2024-02-01,MI,ENRVD04,C,2.0,103.5,O
1,2024-02-01,MI,ENRVD02,C,4.0,103.5,O
1,2024-02-01,MI,ENRVD05,C,2.0,103.5,O
1,2024-02-01,MI,HCGC01,C,6.9,100.0,O
1,2024-02-01,MI,DETIC01,C,127.6,80.11,O
1,2024-02-01,MI,SEDVD03,C,0.1,80.11,O
1,2024-02-01,MI,SWAPC01,C,16.1,79.25,O
1,2024-02-01,MI,CYEC01,C,2.0,79.25,O
1,2024-02-01,MI,LAUEVD3,C,0.2,79.25,O
1,2024-02-01,MI,OPPIC01,C,7.5,79.25,O
1,2024-02-01,MI,ALUEC01,C,0.5,79.0,O
1,2024-02-01,MI,HISVD18,C,1.2,79.0,O
1,2024-02-01,MI,HISVD13,C,1.5,79.0,O
1,2024-02-01,MI,HISVD17,C,1.5,79.0,O
1,2024-02-01,MI,TLCRC01,C,3.6,79.0,O
1,2024-02-01,MI,HISPC01,C,6.7,79.0,O
1,2024-02-01,MI,WATIC01,C,1.3,79.0,O
1,2024-02-01,MI,WATRM06,C,1.5,79.0,O
1,2024-02-01,MI,URAIC01,C,0.7,79.0,O
1,2024-02-01,MI,HISVD28,C,1.5,79.0,O
1,2024-02-01,MI,HISVD27,C,1.4,79.0,O
1,2024-02-01,MI,HISVD51,C,0.8,79.0,O
1,2024-02-01,MI,FENC01,C,1.8,79.0,O
1,2024-02-01,MI,HISVD44,C,1.6,79.0,O
1,2024-02-01,MI,SWAPC01,C,2.3,74.25,O
1,2024-02-01,MI,SWARM01,C,7.0,74.25,O
1,2024-02-01,MI,AGRIC01,C,11.6,74.25,O
1,2024-02-01,MI,AENEC01,C,4.9,74.25,O
