OMIE - Mercado de electricidad;Fecha Emisión :17/02/2024 - 18:22;;18/02/2024;M.Intradiario para el día, sesión - Nº 2;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;18/02/2024;MI;WMVD101;C;0,2;1.002,00;O;
1;18/02/2024;MI;WMVD090;C;0,1;1.002,00;O;
1;18/02/2024;MI;WMVD145;C;0,1;1.002,00;O;
1;18/02/2024;MI;WMVD147;C;0,1;1.002,00;O;
1;18/02/2024;MI;BPRE04;C;0,8;1.002,00;O;
1;18/02/2024;MI;WMVD184;C;0,1;1.002,00;O;
1;18/02/2024;MI;EUCDR01;C;1,0;1.002,00;O;
1;18/02/2024;MI;WMVD204;C;0,2;1.002,00;O;
1;18/02/2024;MI;BPRE03;C;0,8;1.002,00;O;
1;18/02/2024;MI;WMJUCA;C;1,5;1.002,00;O;
1;18/02/2024;MI;NXVD316;C;0,3;700,00;O;
1;18/02/2024;MI;NXVD315;C;0,3;700,00;O;
1;18/02/2024;MI;NXVD313;C;0,6;700,00;O;
1;18/02/2024;MI;NXVD314;C;0,2;700,00;O;
1;18/02/2024;MI;NXVD311;C;0,2;700,00;O;
1;18/02/2024;MI;NXVD312;C;0,3;700,00;O;
1;18/02/2024;MI;NXVD309;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD310;C;0,3;700,00;O;
1;18/02/2024;MI;NXVD308;C;0,3;700,00;O;
1;18/02/2024;MI;NXVD267;C;6,9;700,00;O;
1;18/02/2024;MI;NXVD229;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD219;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD170;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD163;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD126;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD114;C;0,1;700,00;O;
1;18/02/2024;MI;NEXVD46;C;0,4;700,00;O;
1;18/02/2024;MI;LUZBV02;C;0,7;700,00;O;
1;18/02/2024;MI;NXVD236;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD228;C;0,1;700,00;O;
1;18/02/2024;MI;NXVD233;C;0,1;700,00;O;
1;18/02/2024;MI;EGVD152;C;0,2;500,00;O;
1;18/02/2024;MI;EGVD454;C;0,4;500,00;O;
1;18/02/2024;MI;EGVD121;C;7,5;500,00;O;
1;18/02/2024;MI;EGLEC01;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD381;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD083;C;0,6;500,00;O;
1;18/02/2024;MI;EGVD096;C;0,3;500,00;O;
1;18/02/2024;MI;EGVD095;C;0,2;500,00;O;
1;18/02/2024;MI;EGVD264;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD258;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD471;C;0,2;500,00;O;
1;18/02/2024;MI;EGVD291;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD085;C;0,9;500,00;O;
1;18/02/2024;MI;GNSUC01;C;2,1;500,00;O;
1;18/02/2024;MI;GNSEC01;C;9,4;500,00;O;
1;18/02/2024;MI;EGVD058;C;1,0;500,00;O;
1;18/02/2024;MI;EGVD379;C;1,8;500,00;O;
1;18/02/2024;MI;EGVD227;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD408;C;0,1;500,00;O;
1;18/02/2024;MI;EGVD055;C;1,2;500,00;O;
1;18/02/2024;MI;EGVD060;C;0,4;500,00;O;
1;18/02/2024;MI;EGVD059;C;0,2;500,00;O;
1;18/02/2024;MI;EGVD064;C;0,4;500,00;O;
1;18/02/2024;MI;EGEDRE9;C;1,7;451,00;O;
1;18/02/2024;MI;EGEDRE2;C;0,6;451,00;O;
1;18/02/2024;MI;EGEDRE3;C;0,1;451,00;O;
1;18/02/2024;MI;EDRE027;C;1,6;451,00;O;
1;18/02/2024;MI;EDRE029;C;0,8;451,00;O;
1;18/02/2024;MI;EDRE019;C;0,2;451,00;O;
1;18/02/2024;MI;EDRE017;C;0,1;451,00;O;
1;18/02/2024;MI;ACC2EBR;C;21,0;450,00;O;
1;18/02/2024;MI;EBLVD24;C;0,1;400,00;O;
1;18/02/2024;MI;EBLVD22;C;1,0;400,00;O;
1;18/02/2024;MI;EBLVD17;C;0,2;400,00;O;
1;18/02/2024;MI;EBLVD20;C;0,4;400,00;O;
1;18/02/2024;MI;EBLVD21;C;0,1;400,00;O;
1;18/02/2024;MI;EBLVD16;C;0,1;400,00;O;
1;18/02/2024;MI;EBLVD13;C;0,4;400,00;O;
1;18/02/2024;MI;EBLCVD8;C;0,5;400,00;O;
1;18/02/2024;MI;EBLVD12;C;0,2;400,00;O;
1;18/02/2024;MI;EBLCVD4;C;0,1;400,00;O;
1;18/02/2024;MI;EBLCVD3;C;0,1;400,00;O;
1;18/02/2024;MI;EBLCVD1;C;1,1;400,00;O;
1;18/02/2024;MI;EBLVD36;C;0,1;400,00;O;
1;18/02/2024;MI;EBLCVD1;C;0,1;400,00;O;
1;18/02/2024;MI;EBLVD53;C;0,8;400,00;O;
1;18/02/2024;MI;EBLVD47;C;0,1;400,00;O;
1;18/02/2024;MI;EBLCO01;C;20,0;400,00;O;
1;18/02/2024;MI;EBLVD48;C;0,1;400,00;O;
1;18/02/2024;MI;EBLVD57;C;0,1;400,00;O;
1;18/02/2024;MI;EBLVD51;C;0,1;400,00;O;
1;18/02/2024;MI;TLCRC01;C;10,8;400,00;O;
1;18/02/2024;MI;EBLCVD1;C;0,1;400,00;O;
1;18/02/2024;MI;CEVD053;C;0,2;350,00;O;
1;18/02/2024;MI;CEVD289;C;0,8;350,00;O;
1;18/02/2024;MI;CEVD279;C;0,1;350,00;O;
1;18/02/2024;MI;CEVD283;C;0,1;350,00;O;
1;18/02/2024;MI;CEVD287;C;0,1;350,00;O;
1;18/02/2024;MI;CEVD284;C;0,2;350,00;O;
1;18/02/2024;MI;CEVD302;C;0,1;350,00;O;
