station_id,timestamp,wind_vv_m_s,wind_vmax_m_s,wind_dv_g,wind_dmax_g
0009X,2025-05-13 09:00:00+00:00,1.3,4.6,91.0,120.0
0016A,2025-05-13 09:00:00+00:00,1.9,4.1,160.0,160.0
0042Y,2025-05-13 09:00:00+00:00,2.1,4.2,159.0,147.0
0061X,2025-05-13 09:00:00+00:00,3.1,5.3,198.0,215.0
0066X,2025-05-13 09:00:00+00:00,2.0,4.7,235.0,247.0
0073X,2025-05-13 09:00:00+00:00,2.9,4.7,156.0,180.0
0076,2025-05-13 09:00:00+00:00,3.3,6.2,190.0,200.0
0092X,2025-05-13 09:00:00+00:00,0.8,3.1,245.0,250.0
0106X,2025-05-13 09:00:00+00:00,0.4,2.1,79.0,87.0
0114X,2025-05-13 09:00:00+00:00,0.8,1.8,128.0,200.0
0120X,2025-05-13 09:00:00+00:00,1.5,3.2,255.0,255.0
0149X,2025-05-13 09:00:00+00:00,1.0,2.3,216.0,278.0
0171X,2025-05-13 09:00:00+00:00,0.3,2.1,120.0,150.0
0201D,2025-05-13 09:00:00+00:00,2.8,3.7,182.0,174.0
0201X,2025-05-13 09:00:00+00:00,0.9,3.2,83.0,177.0
0222X,2025-05-13 09:00:00+00:00,1.1,3.2,153.0,152.0
0252D,2025-05-13 09:00:00+00:00,1.2,4.4,207.0,190.0
0281Y,2025-05-13 09:00:00+00:00,3.2,4.4,200.0,202.0
0284X,2025-05-13 09:00:00+00:00,2.5,5.0,157.0,160.0
0312X,2025-05-13 09:00:00+00:00,1.6,3.7,84.0,90.0
0320I,2025-05-13 09:00:00+00:00,2.7,4.4,111.0,92.0
0360X,2025-05-13 09:00:00+00:00,0.5,1.9,150.0,125.0
0363X,2025-05-13 09:00:00+00:00,1.2,4.1,126.0,122.0
0367,2025-05-13 09:00:00+00:00,0.7,2.6,140.0,180.0
0370E,2025-05-13 09:00:00+00:00,0.6,2.9,329.0,215.0
0372C,2025-05-13 09:00:00+00:00,1.4,4.4,110.0,124.0
0385X,2025-05-13 09:00:00+00:00,2.5,3.9,122.0,122.0
0394X,2025-05-13 09:00:00+00:00,0.6,1.3,76.0,80.0
0411X,2025-05-13 09:00:00+00:00,0.5,2.4,103.0,112.0
0413A,2025-05-13 09:00:00+00:00,1.2,3.1,128.0,122.0
0421X,2025-05-13 09:00:00+00:00,1.4,3.0,135.0,250.0
0429X,2025-05-13 09:00:00+00:00,1.5,2.8,190.0,167.0
0433D,2025-05-13 09:00:00+00:00,2.6,,285.0,
1002Y,2025-05-13 09:00:00+00:00,0.8,1.5,128.0,130.0
1010X,2025-05-13 09:00:00+00:00,0.4,1.0,218.0,185.0
1012P,2025-05-13 09:00:00+00:00,0.4,1.5,14.0,165.0
1014A,2025-05-13 09:00:00+00:00,2.4,3.1,10.0,20.0
