station_id,date,wind_vmean_m_s,wind_racha_m_s,wind_dir_racha_d_g
8293X,2025-04-25,2.2,7.8,1.0
8492X,2025-04-25,1.7,10.3,24.0
4520X,2025-04-25,1.9,7.5,32.0
2462,2025-04-25,3.9,12.2,33.0
3094B,2025-04-25,3.3,10.3,31.0
2755X,2025-04-25,2.5,14.4,31.0
1679A,2025-04-25,1.9,8.3,26.0
C249I,2025-04-25,7.8,14.4,3.0
7012D,2025-04-25,1.9,8.1,18.0
C439J,2025-04-25,5.8,14.2,5.0
B434X,2025-04-25,5.3,8.9,20.0
C468X,2025-04-25,3.6,10.3,5.0
9394X,2025-04-25,2.2,9.7,15.0
9574B,2025-04-25,2.8,11.1,15.0
C839X,2025-04-25,7.2,12.8,3.0
C019V,2025-04-25,4.7,12.5,36.0
1387E,2025-04-25,5.3,13.3,33.0
1212E,2025-04-25,4.2,13.3,27.0
0016A,2025-04-25,2.5,7.2,14.0
9510X,2025-04-25,2.2,9.7,30.0
9280B,2025-04-25,1.9,16.1,30.0
8300X,2025-04-25,2.5,8.1,2.0
B341X,2025-04-25,2.8,9.2,22.0
9562X,2025-04-25,3.1,10.3,29.0
C629Q,2025-04-25,2.8,6.4,22.0
7019X,2025-04-25,3.1,8.1,19.0
5702X,2025-04-25,2.5,8.3,21.0
B870C,2025-04-25,1.7,6.4,23.0
7121A,2025-04-25,1.9,7.2,12.0
5047E,2025-04-25,3.1,11.7,28.0
4358X,2025-04-25,1.9,7.5,25.0
0106X,2025-04-25,2.8,8.1,19.0
C447A,2025-04-25,5.8,13.9,32.0
7227X,2025-04-25,3.1,9.2,20.0
C449C,2025-04-25,3.3,11.1,6.0
9434,2025-04-25,5.3,18.1,25.0
9001D,2025-04-25,2.2,14.4,31.0
0222X,2025-04-25,1.7,7.5,14.0
6001,2025-04-25,4.7,15.0,9.0
5972X,2025-04-25,1.9,10.0,19.0
0367,2025-04-25,2.2,8.3,19.0
1701X,2025-04-25,1.7,8.9,22.0
7007Y,2025-04-25,1.4,5.0,17.0
6293X,2025-04-25,3.6,9.4,27.0
1521X,2025-04-25,3.3,9.7,99.0
8050X,2025-04-25,3.1,9.4,19.0
3175,2025-04-25,2.8,12.8,21.0
9051,2025-04-25,1.7,11.1,36.0
9981A,2025-04-25,2.2,7.8,99.0
1740,2025-04-25,2.5,9.7,32.0
1234P,2025-04-25,0.6,8.1,2.0
2235U,2025-04-25,2.5,12.5,18.0
6088X,2025-04-25,1.4,8.1,26.0
3260B,2025-04-25,4.2,12.8,26.0
6040X,2025-04-25,0.6,4.7,20.0
1331A,2025-04-25,1.4,10.3,27.0
C649R,2025-04-25,5.3,10.3,2.0
C117A,2025-04-25,1.9,5.8,21.0
B644B,2025-04-25,2.2,7.5,4.0
9911X,2025-04-25,2.2,9.2,8.0
3565X,2025-04-25,5.3,11.1,28.0
3365A,2025-04-25,2.2,12.8,26.0
9771C,2025-04-25,1.9,4.7,25.0
8489X,2025-04-25,2.2,10.8,24.0
6332Y,2025-04-25,3.3,10.3,19.0
1183X,2025-04-25,2.8,8.3,28.0
C314Z,2025-04-25,9.2,15.8,6.0
9994X,2025-04-25,1.7,7.2,4.0
6084X,2025-04-25,1.9,5.8,15.0
7178I,2025-04-25,1.7,7.2,18.0
C458A,2025-04-25,3.9,9.7,8.0
4067,2025-04-25,3.3,11.1,27.0
B301,2025-04-25,2.8,6.1,18.0
6156X,2025-04-25,2.5,7.2,10.0
B496X,2025-04-25,3.3,8.6,24.0
C316I,2025-04-25,8.1,18.6,8.0
7096B,2025-04-25,1.4,9.7,19.0
4489X,2025-04-25,3.9,9.7,34.0
5641X,2025-04-25,1.9,8.6,24.0
1279X,2025-04-25,1.4,6.4,30.0
5995B,2025-04-25,2.2,7.5,16.0
5361X,2025-04-25,1.9,8.6,26.0
C459Z,2025-04-25,5.6,9.7,7.0
0149X,2025-04-25,2.2,8.6,21.0
9784P,2025-04-25,1.4,7.2,99.0
C648N,2025-04-25,4.2,10.8,34.0
9569A,2025-04-25,2.2,9.2,32.0
5625X,2025-04-25,3.1,8.6,24.0
5514,2025-04-25,3.9,8.9,27.0
8059C,2025-04-25,2.5,8.6,24.0
1083L,2025-04-25,3.3,14.4,29.0
C029O,2025-04-25,7.5,15.3,1.0
9390,2025-04-25,1.4,7.5,4.0
C939T,2025-04-25,4.4,9.7,99.0
1700X,2025-04-25,1.1,6.7,29.0
1064L,2025-04-25,0.3,7.2,1.0
7244X,2025-04-25,1.9,7.2,13.0
7172X,2025-04-25,1.1,6.1,16.0
9201X,2025-04-25,2.5,8.9,28.0
B103B,2025-04-25,1.1,5.8,18.0
6277B,2025-04-25,1.9,6.7,23.0
2298,2025-04-25,2.5,9.2,31.0
4589X,2025-04-25,3.3,8.9,31.0
2517A,2025-04-25,4.2,11.9,26.0
1342X,2025-04-25,2.2,10.8,28.0
1021X,2025-04-25,1.4,7.5,26.0
5192,2025-04-25,2.8,10.3,30.0
1486E,2025-04-25,1.7,4.4,28.0
7026X,2025-04-25,1.9,6.7,21.0
6325O,2025-04-25,3.3,7.2,21.0
1014,2025-04-25,5.0,15.3,27.0
1060X,2025-04-25,2.2,11.1,33.0
1135C,2025-04-25,1.9,10.8,27.0
B780X,2025-04-25,2.2,6.7,5.0
B760X,2025-04-25,1.7,6.1,10.0
9001S,2025-04-25,4.7,14.2,36.0
C639U,2025-04-25,8.3,16.9,3.0
0244X,2025-04-25,2.2,6.7,24.0
6248D,2025-04-25,2.8,11.1,99.0
4452,2025-04-25,4.2,10.6,30.0
8057C,2025-04-25,1.7,5.6,7.0
1174I,2025-04-25,2.5,13.9,5.0
4148,2025-04-25,2.5,9.4,21.0
1159,2025-04-25,3.6,10.8,31.0
0281Y,2025-04-25,2.2,8.1,20.0
6000A,2025-04-25,1.9,6.4,28.0
6058I,2025-04-25,1.4,9.2,26.0
8325X,2025-04-25,1.9,8.1,10.0
9898,2025-04-25,1.4,5.0,12.0
1283U,2025-04-25,4.2,15.0,9.0
8072Y,2025-04-25,1.1,6.4,36.0
9263D,2025-04-25,1.4,16.1,32.0
0092X,2025-04-25,0.8,4.2,7.0
4554X,2025-04-25,2.8,8.6,33.0
C658X,2025-04-25,3.1,8.6,35.0
4244X,2025-04-25,2.8,9.2,28.0
9894Y,2025-04-25,1.1,6.9,26.0
B362X,2025-04-25,1.9,7.2,13.0
1690A,2025-04-25,1.7,9.4,25.0
C629X,2025-04-25,2.8,6.4,11.0
6201X,2025-04-25,1.9,6.1,23.0
4642E,2025-04-25,3.3,9.7,31.0
2946X,2025-04-25,3.3,12.5,30.0
3576X,2025-04-25,4.2,11.7,26.0
1082,2025-04-25,4.2,16.1,30.0
1010X,2025-04-25,2.5,11.7,27.0
9170,2025-04-25,2.5,10.3,21.0
1639X,2025-04-25,1.9,9.7,34.0
1111X,2025-04-25,5.3,13.3,8.0
8058Y,2025-04-25,1.7,6.7,8.0
C139E,2025-04-25,8.3,11.7,3.0
0061X,2025-04-25,2.8,6.7,13.0
1124E,2025-04-25,1.7,20.8,31.0
8409X,2025-04-25,1.9,8.1,12.0
9208E,2025-04-25,1.9,7.8,2.0
7012C,2025-04-25,2.2,8.6,18.0
4478X,2025-04-25,3.6,10.3,31.0
3200,2025-04-25,3.9,12.8,28.0
7237E,2025-04-25,1.4,7.8,11.0
8414A,2025-04-25,3.3,8.3,99.0
1012P,2025-04-25,1.9,13.6,22.0
