,Spain,France,Germany,hour,day_of_week,month,date
2024-12-31 23:00:00+00:00,134.49,12.36,2.16,23,1,12,2024-12-31
2025-01-01 00:00:00+00:00,131.59,18.92,1.6,0,2,1,2025-01-01
2025-01-01 01:00:00+00:00,131.49,16.66,0.0,1,2,1,2025-01-01
2025-01-01 02:00:00+00:00,131.42,13.1,-0.01,2,2,1,2025-01-01
2025-01-01 03:00:00+00:00,120.49,5.9,-0.01,3,2,1,2025-01-01
2025-01-01 04:00:00+00:00,112.3,9.27,-0.06,4,2,1,2025-01-01
2025-01-01 05:00:00+00:00,112.3,10.04,-0.09,5,2,1,2025-01-01
2025-01-01 06:00:00+00:00,111.88,7.23,-0.01,6,2,1,2025-01-01
2025-01-01 07:00:00+00:00,112.09,12.83,-0.01,7,2,1,2025-01-01
2025-01-01 08:00:00+00:00,94.99,13.76,-0.04,8,2,1,2025-01-01
2025-01-01 09:00:00+00:00,35.0,17.95,-0.03,9,2,1,2025-01-01
2025-01-01 10:00:00+00:00,20.59,20.59,-0.1,10,2,1,2025-01-01
2025-01-01 11:00:00+00:00,28.11,28.11,-0.05,11,2,1,2025-01-01
2025-01-01 12:00:00+00:00,30.0,30.0,-0.1,12,2,1,2025-01-01
2025-01-01 13:00:00+00:00,21.5,21.5,-1.01,13,2,1,2025-01-01
2025-01-01 14:00:00+00:00,10.68,10.68,-0.01,14,2,1,2025-01-01
2025-01-01 15:00:00+00:00,72.0,20.18,-0.01,15,2,1,2025-01-01
2025-01-01 16:00:00+00:00,125.49,35.72,0.07,16,2,1,2025-01-01
2025-01-01 17:00:00+00:00,149.72,48.06,1.01,17,2,1,2025-01-01
2025-01-01 18:00:00+00:00,150.67,50.14,1.48,18,2,1,2025-01-01
2025-01-01 19:00:00+00:00,152.99,41.5,1.0,19,2,1,2025-01-01
2025-01-01 20:00:00+00:00,151.69,34.93,0.07,20,2,1,2025-01-01
2025-01-01 21:00:00+00:00,147.75,34.69,10.05,21,2,1,2025-01-01
2025-01-01 22:00:00+00:00,133.06,28.04,7.01,22,2,1,2025-01-01
2025-01-01 23:00:00+00:00,137.12,39.84,2.55,23,2,1,2025-01-01
2025-01-02 00:00:00+00:00,123.03,44.1,1.56,0,3,1,2025-01-02
2025-01-02 01:00:00+00:00,100.2,44.7,3.45,1,3,1,2025-01-02
2025-01-02 02:00:00+00:00,99.82,42.92,7.02,2,3,1,2025-01-02
2025-01-02 03:00:00+00:00,99.82,40.15,12.75,3,3,1,2025-01-02
2025-01-02 04:00:00+00:00,100.08,52.51,30.07,4,3,1,2025-01-02
2025-01-02 05:00:00+00:00,128.44,93.3,67.13,5,3,1,2025-01-02
2025-01-02 06:00:00+00:00,143.96,120.03,98.83,6,3,1,2025-01-02
2025-01-02 07:00:00+00:00,152.92,135.52,121.53,7,3,1,2025-01-02
2025-01-02 08:00:00+00:00,152.16,136.48,127.23,8,3,1,2025-01-02
2025-01-02 09:00:00+00:00,129.04,129.04,126.35,9,3,1,2025-01-02
2025-01-02 10:00:00+00:00,125.7,125.7,119.97,10,3,1,2025-01-02
2025-01-02 11:00:00+00:00,125.72,125.72,115.95,11,3,1,2025-01-02
2025-01-02 12:00:00+00:00,119.3,119.3,113.9,12,3,1,2025-01-02
2025-01-02 13:00:00+00:00,124.65,124.65,122.21,13,3,1,2025-01-02
2025-01-02 14:00:00+00:00,130.11,130.11,130.11,14,3,1,2025-01-02
2025-01-02 15:00:00+00:00,139.5,139.5,138.59,15,3,1,2025-01-02
2025-01-02 16:00:00+00:00,153.4,153.4,152.87,16,3,1,2025-01-02
2025-01-02 17:00:00+00:00,159.18,153.15,152.94,17,3,1,2025-01-02
2025-01-02 18:00:00+00:00,160.99,146.66,139.15,18,3,1,2025-01-02
2025-01-02 19:00:00+00:00,161.1,130.6,130.0,19,3,1,2025-01-02
2025-01-02 20:00:00+00:00,157.88,120.62,119.78,20,3,1,2025-01-02
2025-01-02 21:00:00+00:00,152.44,117.89,113.42,21,3,1,2025-01-02
2025-01-02 22:00:00+00:00,140.0,118.56,82.47,22,3,1,2025-01-02
2025-01-02 23:00:00+00:00,121.52,103.88,99.56,23,3,1,2025-01-02
2025-01-03 00:00:00+00:00,104.9,95.18,87.53,0,4,1,2025-01-03
2025-01-03 01:00:00+00:00,93.94,89.94,85.01,1,4,1,2025-01-03
2025-01-03 02:00:00+00:00,91.1,87.67,83.79,2,4,1,2025-01-03
2025-01-03 03:00:00+00:00,88.46,84.06,77.5,3,4,1,2025-01-03
2025-01-03 04:00:00+00:00,92.25,92.25,79.88,4,4,1,2025-01-03
2025-01-03 05:00:00+00:00,100.14,100.14,83.56,5,4,1,2025-01-03
2025-01-03 06:00:00+00:00,126.0,119.27,78.43,6,4,1,2025-01-03
2025-01-03 07:00:00+00:00,141.2,127.28,82.57,7,4,1,2025-01-03
2025-01-03 08:00:00+00:00,138.0,132.97,80.76,8,4,1,2025-01-03
2025-01-03 09:00:00+00:00,130.52,130.52,77.64,9,4,1,2025-01-03
2025-01-03 10:00:00+00:00,123.2,123.2,70.48,10,4,1,2025-01-03
2025-01-03 11:00:00+00:00,113.51,113.51,69.94,11,4,1,2025-01-03
2025-01-03 12:00:00+00:00,107.6,107.6,77.8,12,4,1,2025-01-03
2025-01-03 13:00:00+00:00,105.88,105.88,78.81,13,4,1,2025-01-03
2025-01-03 14:00:00+00:00,110.22,110.22,85.29,14,4,1,2025-01-03
2025-01-03 15:00:00+00:00,123.2,123.2,105.51,15,4,1,2025-01-03
2025-01-03 16:00:00+00:00,141.2,141.2,116.66,16,4,1,2025-01-03
2025-01-03 17:00:00+00:00,149.62,144.48,115.06,17,4,1,2025-01-03
2025-01-03 18:00:00+00:00,151.25,141.43,114.91,18,4,1,2025-01-03
2025-01-03 19:00:00+00:00,151.25,133.2,113.3,19,4,1,2025-01-03
2025-01-03 20:00:00+00:00,149.12,119.9,107.8,20,4,1,2025-01-03
2025-01-03 21:00:00+00:00,145.58,123.58,98.22,21,4,1,2025-01-03
2025-01-03 22:00:00+00:00,136.42,126.09,88.57,22,4,1,2025-01-03
2025-01-03 23:00:00+00:00,109.06,109.06,90.43,23,4,1,2025-01-03
2025-01-04 00:00:00+00:00,101.0,101.0,90.29,0,5,1,2025-01-04
