country,datetime,demand,ramp,absolute_ramp
Spain,2024-05-09 21:00:00,31383.0,,
Spain,2024-05-09 21:05:00,31589.0,206.0,206.0
Spain,2024-05-09 21:10:00,31712.0,123.0,123.0
Spain,2024-05-09 21:15:00,32065.0,353.0,353.0
Spain,2024-05-09 21:20:00,32014.0,-51.0,51.0
Spain,2024-05-09 21:25:00,32108.0,94.0,94.0
Spain,2024-05-09 21:30:00,32070.0,-38.0,38.0
Spain,2024-05-09 21:35:00,32072.0,2.0,2.0
Spain,2024-05-09 21:40:00,32049.0,-23.0,23.0
Spain,2024-05-09 21:45:00,31971.0,-78.0,78.0
Spain,2024-05-09 21:50:00,31671.0,-300.0,300.0
Spain,2024-05-09 21:55:00,31447.0,-224.0,224.0
Spain,2024-05-09 22:00:00,31181.0,-266.0,266.0
Spain,2024-05-09 22:05:00,31034.0,-147.0,147.0
Spain,2024-05-09 22:10:00,30945.0,-89.0,89.0
Spain,2024-05-09 22:15:00,30669.0,-276.0,276.0
Spain,2024-05-09 22:20:00,30329.0,-340.0,340.0
Spain,2024-05-09 22:25:00,30099.0,-230.0,230.0
Spain,2024-05-09 22:30:00,29892.0,-207.0,207.0
Spain,2024-05-09 22:35:00,29740.0,-152.0,152.0
Spain,2024-05-09 22:40:00,29461.0,-279.0,279.0
Spain,2024-05-09 22:45:00,29042.0,-419.0,419.0
Spain,2024-05-09 22:50:00,28978.0,-64.0,64.0
Spain,2024-05-09 22:55:00,28610.0,-368.0,368.0
Spain,2024-05-09 23:00:00,28579.0,-31.0,31.0
Spain,2024-05-09 23:05:00,28289.0,-290.0,290.0
Spain,2024-05-09 23:10:00,28210.0,-79.0,79.0
Spain,2024-05-09 23:15:00,28071.0,-139.0,139.0
Spain,2024-05-09 23:20:00,27547.0,-524.0,524.0
Spain,2024-05-09 23:25:00,27391.0,-156.0,156.0
Spain,2024-05-09 23:30:00,27101.0,-290.0,290.0
Spain,2024-05-09 23:35:00,26933.0,-168.0,168.0
Spain,2024-05-09 23:40:00,26975.0,42.0,42.0
Spain,2024-05-09 23:45:00,26479.0,-496.0,496.0
Spain,2024-05-09 23:50:00,26419.0,-60.0,60.0
Spain,2024-05-09 23:55:00,26154.0,-265.0,265.0
Spain,2024-05-10 00:00:00,26102.0,-52.0,52.0
Spain,2024-05-10 00:05:00,26122.0,20.0,20.0
Spain,2024-05-10 00:10:00,25926.0,-196.0,196.0
Spain,2024-05-10 00:15:00,26085.0,159.0,159.0
Spain,2024-05-10 00:20:00,26028.0,-57.0,57.0
Spain,2024-05-10 00:25:00,25793.0,-235.0,235.0
Spain,2024-05-10 00:30:00,25715.0,-78.0,78.0
Spain,2024-05-10 00:35:00,25602.0,-113.0,113.0
Spain,2024-05-10 00:40:00,25556.0,-46.0,46.0
Spain,2024-05-10 00:45:00,25326.0,-230.0,230.0
Spain,2024-05-10 00:50:00,25108.0,-218.0,218.0
Spain,2024-05-10 00:55:00,24995.0,-113.0,113.0
Spain,2024-05-10 01:00:00,24870.0,-125.0,125.0
Spain,2024-05-10 01:05:00,24710.0,-160.0,160.0
Spain,2024-05-10 01:10:00,24814.0,104.0,104.0
Spain,2024-05-10 01:15:00,24630.0,-184.0,184.0
Spain,2024-05-10 01:20:00,24517.0,-113.0,113.0
Spain,2024-05-10 01:25:00,24359.0,-158.0,158.0
Spain,2024-05-10 01:30:00,24334.0,-25.0,25.0
Spain,2024-05-10 01:35:00,24252.0,-82.0,82.0
Spain,2024-05-10 01:40:00,24108.0,-144.0,144.0
Spain,2024-05-10 01:45:00,23940.0,-168.0,168.0
Spain,2024-05-10 01:50:00,23776.0,-164.0,164.0
