country,datetime,demand,ramp,absolute_ramp
Spain,2024-05-10 21:00:00,29808.0,7811.0,7811.0
Spain,2024-05-11 21:00:00,27129.0,6734.0,6734.0
Spain,2024-05-12 21:00:00,26453.0,5448.0,5448.0
Spain,2024-05-11 17:05:00,23194.0,932.0,932.0
Spain,2024-05-12 17:05:00,21799.0,879.0,879.0
Spain,2024-05-13 07:05:00,25915.0,733.0,733.0
Spain,2024-05-12 18:05:00,22816.0,682.0,682.0
Spain,2024-05-12 20:35:00,26085.0,649.0,649.0
Spain,2024-05-13 06:05:00,22932.0,643.0,643.0
Spain,2024-05-10 08:05:00,28959.0,598.0,598.0
