datetime,demand_mwh,country,ramp,absolute_ramp
2024-01-01 00:00:00,55239.0,France,,
2024-01-01 00:30:00,55167.0,France,-72.0,72.0
2024-01-01 01:00:00,53183.0,France,-1984.0,1984.0
2024-01-01 01:30:00,53165.0,France,-18.0,18.0
2024-01-01 02:00:00,53088.0,France,-77.0,77.0
2024-01-01 02:30:00,53077.0,France,-11.0,11.0
2024-01-01 03:00:00,51532.0,France,-1545.0,1545.0
2024-01-01 03:30:00,50252.0,France,-1280.0,1280.0
2024-01-01 04:00:00,48961.0,France,-1291.0,1291.0
2024-01-01 04:30:00,48216.0,France,-745.0,745.0
2024-01-01 05:00:00,47454.0,France,-762.0,762.0
2024-01-01 05:30:00,47758.0,France,304.0,304.0
2024-01-01 06:00:00,47491.0,France,-267.0,267.0
2024-01-01 06:30:00,48051.0,France,560.0,560.0
2024-01-01 07:00:00,48055.0,France,4.0,4.0
2024-01-01 07:30:00,48249.0,France,194.0,194.0
2024-01-01 08:00:00,48227.0,France,-22.0,22.0
2024-01-01 08:30:00,48346.0,France,119.0,119.0
2024-01-01 09:00:00,48382.0,France,36.0,36.0
2024-01-01 09:30:00,48863.0,France,481.0,481.0
2024-01-01 10:00:00,49628.0,France,765.0,765.0
2024-01-01 10:30:00,50482.0,France,854.0,854.0
2024-01-01 11:00:00,51155.0,France,673.0,673.0
2024-01-01 11:30:00,51776.0,France,621.0,621.0
2024-01-01 12:00:00,52276.0,France,500.0,500.0
2024-01-01 12:30:00,52853.0,France,577.0,577.0
2024-01-01 13:00:00,52639.0,France,-214.0,214.0
2024-01-01 13:30:00,51605.0,France,-1034.0,1034.0
2024-01-01 14:00:00,50399.0,France,-1206.0,1206.0
2024-01-01 14:30:00,50171.0,France,-228.0,228.0
2024-01-01 15:00:00,49965.0,France,-206.0,206.0
2024-01-01 15:30:00,49869.0,France,-96.0,96.0
2024-01-01 16:00:00,49257.0,France,-612.0,612.0
2024-01-01 16:30:00,49060.0,France,-197.0,197.0
2024-01-01 17:00:00,49326.0,France,266.0,266.0
2024-01-01 17:30:00,51272.0,France,1946.0,1946.0
2024-01-01 18:00:00,53452.0,France,2180.0,2180.0
2024-01-01 18:30:00,55033.0,France,1581.0,1581.0
2024-01-01 19:00:00,56331.0,France,1298.0,1298.0
2024-01-01 19:30:00,57040.0,France,709.0,709.0
2024-01-01 20:00:00,56625.0,France,-415.0,415.0
2024-01-01 20:30:00,55924.0,France,-701.0,701.0
2024-01-01 21:00:00,55094.0,France,-830.0,830.0
2024-01-01 21:30:00,54431.0,France,-663.0,663.0
2024-01-01 22:00:00,53539.0,France,-892.0,892.0
2024-01-01 22:30:00,53992.0,France,453.0,453.0
2024-01-01 23:00:00,55377.0,France,1385.0,1385.0
2024-01-01 23:30:00,54910.0,France,-467.0,467.0
2024-01-02 00:00:00,54441.0,France,-469.0,469.0
2024-01-02 00:30:00,53459.0,France,-982.0,982.0
2024-01-02 01:00:00,51028.0,France,-2431.0,2431.0
2024-01-02 01:30:00,50696.0,France,-332.0,332.0
2024-01-02 02:00:00,50418.0,France,-278.0,278.0
2024-01-02 02:30:00,50345.0,France,-73.0,73.0
2024-01-02 03:00:00,49015.0,France,-1330.0,1330.0
2024-01-02 03:30:00,47915.0,France,-1100.0,1100.0
2024-01-02 04:00:00,46959.0,France,-956.0,956.0
2024-01-02 04:30:00,46674.0,France,-285.0,285.0
2024-01-02 05:00:00,46554.0,France,-120.0,120.0
2024-01-02 05:30:00,47819.0,France,1265.0,1265.0
2024-01-02 06:00:00,48684.0,France,865.0,865.0
2024-01-02 06:30:00,50961.0,France,2277.0,2277.0
2024-01-02 07:00:00,52412.0,France,1451.0,1451.0
2024-01-02 07:30:00,54264.0,France,1852.0,1852.0
2024-01-02 08:00:00,55804.0,France,1540.0,1540.0
2024-01-02 08:30:00,57050.0,France,1246.0,1246.0
2024-01-02 09:00:00,57906.0,France,856.0,856.0
2024-01-02 09:30:00,58916.0,France,1010.0,1010.0
2024-01-02 10:00:00,59770.0,France,854.0,854.0
2024-01-02 10:30:00,60535.0,France,765.0,765.0
2024-01-02 11:00:00,60992.0,France,457.0,457.0
2024-01-02 11:30:00,61746.0,France,754.0,754.0
2024-01-02 12:00:00,62528.0,France,782.0,782.0
2024-01-02 12:30:00,63072.0,France,544.0,544.0
2024-01-02 13:00:00,62617.0,France,-455.0,455.0
2024-01-02 13:30:00,61746.0,France,-871.0,871.0
2024-01-02 14:00:00,61117.0,France,-629.0,629.0
2024-01-02 14:30:00,61359.0,France,242.0,242.0
2024-01-02 15:00:00,61150.0,France,-209.0,209.0
2024-01-02 15:30:00,60669.0,France,-481.0,481.0
2024-01-02 16:00:00,59828.0,France,-841.0,841.0
2024-01-02 16:30:00,59141.0,France,-687.0,687.0
2024-01-02 17:00:00,58885.0,France,-256.0,256.0
2024-01-02 17:30:00,59671.0,France,786.0,786.0
2024-01-02 18:00:00,61063.0,France,1392.0,1392.0
2024-01-02 18:30:00,62119.0,France,1056.0,1056.0
2024-01-02 19:00:00,63165.0,France,1046.0,1046.0
