datetime,demand_mwh,country,ramp,absolute_ramp
2024-04-08 06:00:00,51611.75,Germany,8471.0,8471.0
2024-04-15 06:00:00,52083.5,Germany,8311.0,8311.0
2024-04-09 06:00:00,54690.25,Germany,7920.0,7920.0
2024-06-05 06:00:00,53692.5,Germany,7716.75,7716.75
2024-05-02 06:00:00,50603.25,Germany,7702.25,7702.25
2024-05-21 06:00:00,49622.5,Germany,7680.0,7680.0
2024-04-10 06:00:00,56122.25,Germany,7603.75,7603.75
2024-04-02 06:00:00,53492.75,Germany,7511.25,7511.25
2024-05-06 06:00:00,51871.0,Germany,7496.75,7496.75
2024-04-22 06:00:00,54883.0,Germany,7458.0,7458.0
