Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Apr 1, 2024 12:00 AM;Apr 1, 2024 1:00 AM;4,161.25;1,793.50;2,421.00;7,959.75;4.75;110.00;-;3,663.00;1,591.00;3,187.50;502.75;2,012.25
Apr 1, 2024 1:00 AM;Apr 1, 2024 2:00 AM;4,119.00;1,751.75;2,768.00;7,097.25;6.25;110.25;-;3,702.00;1,572.50;3,114.00;180.25;1,994.25
Apr 1, 2024 2:00 AM;Apr 1, 2024 3:00 AM;4,094.00;1,653.00;2,696.50;7,324.50;4.00;110.00;-;3,620.25;1,563.50;3,134.00;149.25;2,010.00
Apr 1, 2024 3:00 AM;Apr 1, 2024 4:00 AM;4,076.25;1,649.00;2,590.50;6,765.50;4.00;109.75;-;3,684.25;1,558.50;3,143.00;136.50;2,009.00
Apr 1, 2024 4:00 AM;Apr 1, 2024 5:00 AM;4,110.75;1,664.75;2,487.25;6,871.25;4.00;111.00;-;4,005.75;1,573.25;3,145.75;98.00;1,984.00
Apr 1, 2024 5:00 AM;Apr 1, 2024 6:00 AM;4,191.50;1,693.75;2,125.75;6,669.75;3.75;111.25;-;4,136.50;1,561.25;3,281.50;43.00;1,972.00
Apr 1, 2024 6:00 AM;Apr 1, 2024 7:00 AM;4,317.75;1,713.50;1,700.75;6,737.25;19.00;112.00;-;4,060.25;1,567.50;3,535.00;459.00;1,976.75
Apr 1, 2024 7:00 AM;Apr 1, 2024 8:00 AM;4,442.75;1,773.00;1,127.25;6,956.50;656.25;112.00;-;4,084.75;1,573.00;3,702.50;701.50;1,979.00
Apr 1, 2024 8:00 AM;Apr 1, 2024 9:00 AM;4,485.75;1,728.25;748.50;7,512.75;2,644.00;110.75;-;3,788.75;1,613.50;3,619.75;500.75;2,004.75
Apr 1, 2024 9:00 AM;Apr 1, 2024 10:00 AM;4,455.00;1,858.50;575.50;7,511.75;5,350.75;109.50;-;3,833.00;1,729.25;3,532.50;1,213.75;1,990.75
Apr 1, 2024 10:00 AM;Apr 1, 2024 11:00 AM;4,342.50;1,970.75;648.00;7,124.00;7,380.25;110.50;-;3,705.50;1,763.50;3,393.00;1,676.25;1,957.75
Apr 1, 2024 11:00 AM;Apr 1, 2024 12:00 PM;4,250.00;1,987.25;838.75;7,686.00;9,355.00;112.00;-;4,005.00;1,775.00;3,440.00;1,571.00;1,992.75
Apr 1, 2024 12:00 PM;Apr 1, 2024 1:00 PM;4,159.75;1,893.75;626.25;9,360.50;11,184.00;112.25;-;3,896.50;1,774.25;3,224.25;778.50;2,012.25
Apr 1, 2024 1:00 PM;Apr 1, 2024 2:00 PM;4,106.00;1,824.50;680.25;12,093.00;11,631.75;113.00;-;3,705.75;1,755.50;3,431.50;803.50;2,001.00
Apr 1, 2024 2:00 PM;Apr 1, 2024 3:00 PM;4,027.75;1,707.50;789.00;15,659.00;11,830.00;113.00;-;3,125.50;1,596.25;3,007.50;76.00;1,957.25
Apr 1, 2024 3:00 PM;Apr 1, 2024 4:00 PM;4,040.75;1,724.50;850.50;19,863.50;10,479.50;112.75;-;3,082.75;1,511.00;2,980.00;80.75;1,979.25
Apr 1, 2024 4:00 PM;Apr 1, 2024 5:00 PM;4,152.00;1,755.75;1,624.75;22,191.50;8,752.75;112.00;-;3,118.25;1,531.75;3,071.50;27.25;1,958.50
Apr 1, 2024 5:00 PM;Apr 1, 2024 6:00 PM;4,340.25;1,823.00;1,933.25;22,996.50;6,341.00;112.00;-;3,049.00;1,567.50;3,165.25;216.75;1,955.25
Apr 1, 2024 6:00 PM;Apr 1, 2024 7:00 PM;4,619.00;1,857.00;2,140.50;22,446.75;3,107.25;112.50;-;3,747.00;1,644.25;3,267.50;2,733.75;1,927.50
