Title,Generation structure by technology_01-04-2024_30-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity system,National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/04/2024,02/04/2024,03/04/2024,04/04/2024,05/04/2024,06/04/2024,07/04/2024,08/04/2024,09/04/2024,10/04/2024,11/04/2024,12/04/2024,13/04/2024,14/04/2024,15/04/2024,16/04/2024,17/04/2024,18/04/2024,19/04/2024,20/04/2024,21/04/2024,22/04/2024,23/04/2024,24/04/2024,25/04/2024,26/04/2024,27/04/2024,28/04/2024,29/04/2024,30/04/2024,01/05/2024,02/05/2024,03/05/2024,04/05/2024,05/05/2024,06/05/2024,07/05/2024,08/05/2024,09/05/2024,10/05/2024,11/05/2024,12/05/2024,13/05/2024,14/05/2024,15/05/2024,16/05/2024,17/05/2024,18/05/2024,19/05/2024,20/05/2024,21/05/2024,22/05/2024,23/05/2024,24/05/2024,25/05/2024,26/05/2024,27/05/2024,28/05/2024,29/05/2024,30/05/2024,31/05/2024,01/06/2024,02/06/2024,03/06/2024,04/06/2024,05/06/2024,06/06/2024,07/06/2024,08/06/2024,09/06/2024,10/06/2024,11/06/2024,12/06/2024,13/06/2024,14/06/2024,15/06/2024,16/06/2024,17/06/2024,18/06/2024,19/06/2024,20/06/2024,21/06/2024,22/06/2024,23/06/2024,24/06/2024,25/06/2024,26/06/2024,27/06/2024,28/06/2024,29/06/2024,30/06/2024
Hydro,"139,235069","151,754204","156,134704","155,27666399999998","149,882708","151,88485299999994","159,62182199999998","162,77420999999998","155,48943299999996","165,61933799999997","145,62599300000002","166,65040700000003","149,885286","137,150432","132,20092400000001","117,86438599999995","121,36131700000003","119,69927399999997","134,875614","109,07133599999999","86,479759","91,26184199999997","94,302214","110,48144300000001","161,58547600000003","169,17807799999994","109,330029","111,47612099999998","146,863058","101,78792299999999","65,59065900000002","75,138465","89,93376200000003","91,91975700000003","90,85136899999996","123,140928","100,45584","89,877407","103,53070399999999","103,77638499999999","81,090969","86,105629","92,39160000000001","80,89996799999999","97,218754","112,990545","139,344969","94,312753","84,171832","97,71860400000004","110,969526","102,866025","108,04234","103,06778","88,33042900000001","81,20967399999999","89,67707999999999","99,71949999999998","107,11516499999999","93,709779","80,525411","55,20869599999999","51,860632999999986","82,582405","113,636767","120,653352","110,40984900000005","112,09986000000002","92,20273999999998","61,58379199999999","77,96103500000001","80,378172","72,308473","77,66955699999998","68,72726300000001","42,590127","49,437523999999996","70,691595","92,957932","103,971092","92,53968899999998","90,314932","66,11668399999999","52,09337300000001","71,13712000000001","86,49983700000001","103,41569699999998","98,958958","92,67052999999999","75,35678899999999","72,298419"
Nuclear,"111,747091","111,73367","116,49571","127,937431","128,710071","128,779961","111,999495","104,214196","104,078765","103,86246799999999","103,648546","103,462777","112,68077000000001","126,626893","126,808338","126,523877","126,725218","126,152469","126,51374","126,396674","126,288355","126,198757","126,041737","125,655597","125,617767","118,04330999999999","103,85916800000001","103,763708","104,216324","111,08088000000001","111,285167","111,489063","111,409877","110,868106","111,63248","110,42083199999999","116,007096","123,563929","130,6441","132,755035","122,082713","120,29216199999999","119,92209600000001","119,45205","120,009936","115,307148","107,454506","107,722318","110,521204","113,79205400000001","119,07280899999999","116,283258","97,375186","97,247819","97,135143","98,653951","112,16453200000001","119,907415","119,30797199999999","119,894684","119,398651","119,78679","118,17494599999999","98,11197100000001","105,01395699999999","115,27163300000001","119,923056","120,083785","120,887671","121,02355","121,020026","122,85427","138,71032699999998","142,124977","145,96599799999998","150,921131","156,60291899999999","164,084279","167,998242","168,331963","168,667259","168,79316599999999","168,508604","168,341508","168,122103","167,890202","167,75188500000002","167,561987","167,674623","167,82368599999998","167,73829999999998"
Coal,"7,872203000000001","8,498242","8,492090000000001","8,507634","7,683781","6,032425","6,087546000000001","7,011769","7,415957000000001","6,905868000000001","7,1999260000000005","6,910303","5,893405","5,583313","8,170181","8,887898999999999","8,103588","8,107981","7,981469","5,899849000000001","5,893914","7,818728","7,988516","7,984752","7,960062","7,979312","6,109685000000001","6,108561","7,4398990000000005","7,05174","5,88797","6,5241880000000005","6,602533","5,970548","5,907028","7,096636","7,677607","8,740095","7,518726","7,496115","7,64236","8,243848","9,975513999999999","10,382342000000001","10,590083","10,482647","10,354524999999999","7,2413","6,792465","6,625075","6,6322280000000005","6,632641","6,255474","6,248100999999999","6,61307","7,837901","8,214326999999999","8,626192","8,146591","8,200828","8,34507","7,852777","7,83625","8,066125","8,852602999999998","8,599243","8,282093000000001","6,922293","5,910934","5,918877","8,143314","8,886021000000001","8,620965","8,488397","7,791585","5,905595999999999","5,898714","6,1295839999999995","6,301771","7,809774999999999","6,164816","6,147658000000001","6,654172","7,65308","7,646371","8,497036","8,377732","8,370768","6,912523","6,142844","5,921242"
Fuel + Gas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,000001",-,-,-,-,-,-,-
Diesel engines,"7,158582999999999","7,146809","6,670353","7,170522","7,496409","6,589386999999999","5,163364","6,034425000000001","6,031732","5,960502","7,064689","6,949804","6,3720360000000005","5,939737","7,105174","6,955852","7,361479","7,877837","7,539611","6,450919","5,786274000000001","6,624801000000001","6,901533000000001","6,740216","6,662261","6,426279","6,304127","5,326115","5,617646","5,112156","5,191477","5,584798","5,978036","6,596993","5,903487","5,798037999999999","6,05563","6,199668","6,02772","5,9220950000000006","5,490220999999999","5,090196","5,426246","5,493310999999999","5,723376","6,315906","7,1328450000000005","7,236287","6,96056","7,173706","5,886389","6,3539080000000006","6,440096","6,8136980000000005","5,783053","5,538405","6,709225999999999","7,145391","6,645207999999999","5,932094","5,857289","6,958024","5,570866","6,476464","6,465845","6,339201","7,0988109999999995","7,1094859999999995","6,950574","6,464172","6,7054409999999995","7,132315999999999","6,652764","6,522585","7,017787","6,7003770000000005","6,616995","6,938491","6,974654999999999","6,1232359999999995","6,32174","6,315276","5,757008","6,582828999999999","6,745763","7,366676999999999","7,120969","7,237137","7,483867","6,805346999999999","6,359087000000001"
Gas turbine,"1,147656","1,884411","1,88945","1,39328","1,276807","1,0023060000000001","0,678674","1,655325","1,9715440000000002","1,678462","1,8451590000000002","1,39947","0,932979","0,834236","1,436078","1,629346","2,048902","2,1378739999999996","1,224459","0,9732799999999999","0,921979","1,745932","2,2673","2,182255","1,692914","1,644832","0,945022","0,69782","1,859694","2,122209","1,1058610000000002","0,82063","1,0890090000000001","0,989836","1,0094049999999999","1,977189","1,8473309999999998","2,484911","1,61475","0,7355349999999999","0,7141660000000001","0,752649","1,113705","1,233703","1,23817","1,076462","1,1053920000000002","0,9981660000000001","0,824096","1,159009","1,696161","1,518945","1,3548440000000002","1,03794","1,218228","0,817245","1,686207","2,402804","1,760026","2,900165","2,944091","2,5505590000000002","1,976803","2,239713","1,676397","1,822778","2,2930949999999997","2,222578","2,231369","1,4365809999999999","2,6800390000000003","3,1802759999999997","1,7412539999999999","1,228555","2,884487","3,3062600000000004","3,09226","3,687574","4,024304","3,042012","2,527971","2,076829","2,304897","1,792474","2,011909","2,088749","2,590645","2,546136","2,37579","1,528421","1,649106"
Steam turbine,"4,729062","4,072344","3,907586","3,9050100000000003","4,1837740000000005","3,84789","3,408652","3,83983","3,224212","3,3343580000000004","3,04165","3,1694780000000002","3,130102","2,657554","2,929624","2,893692","3,020602","3,011496","2,757384","3,428512","3,102334","3,4785619999999997","3,66613","3,541428","3,14952","3,113324","3,562602","3,049156","3,1061080000000003","3,216612","2,9847759999999997","2,995752","3,0914859999999997","3,2346399999999997","3,061224","3,2497040000000004","3,7493440000000002","4,55749","3,74358","3,195634","3,052364","2,972224","3,507734","3,278856","3,467392","4,067166","4,533658","3,748532","3,564316","3,349656","3,158204","3,492432","3,592998","3,861208","3,668736","3,1413420000000003","3,641682","4,169226","4,693798","3,0434099999999997","3,441418","4,128340000000001","2,795726","3,112638","2,945038","2,8919699999999997","3,1748000000000003","3,330078","2,708558","2,460732","2,88747","2,479056","2,3184180000000003","2,250276","2,436858","2,2876060000000003","2,28654","2,407746","2,512708","2,572138","2,337222","2,301968","2,416154","2,9110300000000002","3,259642","3,1130880000000003","3,0075","3,2175540000000002","2,909116","2,38157","2,3956720000000002"
Combined cycle,"58,031961","68,669292","65,958644","68,009776","53,741989000000004","47,703429","62,251135999999995","64,874556","66,081596","81,531075","76,573387","83,66864699999999","74,34445","66,436155","72,21351399999999","74,665972","68,517369","61,349917999999995","64,861163","52,312551","57,784541","57,920936000000005","56,125536","63,9528","77,947224","89,783594","61,719877000000004","79,388818","108,61055400000001","73,03205899999999","51,689076","60,26093","58,945865","51,118801","60,158772","84,562512","79,75569800000001","64,416882","64,085189","65,02807","55,18306","58,543994","58,693991000000004","47,439629000000004","54,164737","70,24409","85,154724","63,00733","67,03578999999999","65,762637","63,077101","56,129336","67,554861","72,831908","63,130158","63,515553999999995","67,150217","63,860986","81,760745","71,955518","62,814618","47,081829","46,143149","74,490998","92,867632","114,600605","99,16180800000001","89,86292200000001","76,709565","58,476169","64,680811","72,56732099999999","65,60711","64,909277","51,727014000000004","44,50918","45,57615","60,421538999999996","71,604293","84,106912","75,699769","73,005743","53,009542","55,877663999999996","58,989917999999996","75,793487","92,004216","97,879235","80,818984","65,523836","66,198606"
Hydroeolian,"0,004913","0,006933","0,038797","0,0419","0,013439","0,025925","0,086773","0,121697","0,145238","0,10706600000000001","0,029865","0,014665","0,012263","0,005994","0,018832","0,008629","0,003406","0,004438","0,023637000000000002","0,039167","0,045021","0,026785","0,029769999999999998","0,040161999999999996","0,092398","0,058635","0,026388","0,07956300000000001","0,08292100000000001","0,087185","0,077779","0,064307","0,065773","0,074699","0,08148999999999999","0,070366","0,041205","0,010195000000000001","0,047526000000000006","0,105556","0,113995","0,136185","0,112259","0,122097","0,092862","0,07245099999999999","0,043556","0,036527000000000004","0,026595","0,020659","0,064099","0,08460200000000001","0,073116","0,061198","0,091344","0,10739","0,118429","0,069146","0,062916","0,055406","0,052922","0,019027000000000002","0,028124","0,057954","0,086896","0,048982","0,005029","0,004827","0,008608000000000001","0,032845","0,068209","0,084096","0,116699","0,112483","0,117927","0,116477","0,10441299999999999","0,09970699999999999","0,117762","0,114751","0,11303400000000001","0,121327","0,116172","0,13777099999999998","0,140974","0,142788","0,126012","0,08972","0,08837","0,108981","0,11169"
Wind,"223,71192499999998","204,01465499999998","186,22207700000004","139,02716400000003","191,41815000000005","186,46206899999999","91,34775900000001","201,57343799999998","155,964721","146,888242","137,661231","60,977807","43,107411000000006","46,78684599999999","136,66974900000002","191,50927700000003","205,42133099999995","215,736364","133,45909400000002","188,10776899999996","188,435204","252,935401","234,17439000000002","199,75654500000002","104,11020400000002","108,510289","209,973403","54,357391","85,17786100000001","182,27149600000004","239,280562","235,99984600000005","176,568479","196,52968800000005","167,654989","142,43970800000005","174,21629899999996","177,038922","96,67830299999999","108,39071199999998","118,18657500000003","49,86613099999999","156,67400000000004","226,610413","168,95975900000002","156,57881700000002","94,897435","67,82799","61,524653","90,724919","112,836455","111,985539","108,81512599999998","91,54278400000001","93,97482400000003","79,39094899999998","132,260272","98,71561399999999","97,02163","179,41575500000002","264,28313899999995","260,65425000000005","225,08446500000002","187,328043","68,21932000000001","72,144929","158,32388400000002","203,01301100000003","166,72261000000003","240,38718500000002","221,58541200000002","181,06666","186,103941","107,55253600000002","157,68411199999997","136,165253","99,353543","144,32558","137,33751800000005","100,56358999999998","146,986741","82,025632","109,63740299999998","149,091202","126,98259900000001","97,98858999999999","123,670793","133,97687000000002","189,309909","162,694414","63,053464999999996"
