date,datatype,station,attributes,value
2015-01-01T00:00:00,AWND,GHCND:USW00093193,",W",1.0
2015-02-01T00:00:00,AWND,GHCND:USW00093193,",W",1.7
2015-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.4
2015-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.1
2015-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2015-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2015-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2015-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2015-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.6
2015-10-01T00:00:00,AWND,GHCND:USW00093193,",W",2.1
2015-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.6
2015-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2016-01-01T00:00:00,AWND,GHCND:USW00093193,",W",2.0
2016-02-01T00:00:00,AWND,GHCND:USW00093193,",W",1.5
2016-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.6
2016-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.2
2016-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2016-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.9
2016-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.5
2016-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.1
2016-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.5
2016-10-01T00:00:00,AWND,GHCND:USW00093193,",W",2.6
2016-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.8
2016-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.7
2017-01-01T00:00:00,AWND,GHCND:USW00093193,",W",2.5
2017-02-01T00:00:00,AWND,GHCND:USW00093193,",W",3.1
2017-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.4
2017-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.7
2017-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2017-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.7
2017-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.3
2017-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.1
2017-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.8
2017-10-01T00:00:00,AWND,GHCND:USW00093193,",W",1.8
2017-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2017-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.2
2018-01-01T00:00:00,AWND,GHCND:USW00093193,",W",1.8
2018-02-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2018-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.8
2018-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2018-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.8
2018-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.5
2018-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2018-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.3
2018-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.7
2018-10-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2018-11-01T00:00:00,AWND,GHCND:USW00093193,"1,W",1.4
2018-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.3
2019-01-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2019-02-01T00:00:00,AWND,GHCND:USW00093193,",W",3.0
2019-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.8
2019-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.1
2019-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.2
2019-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2019-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.5
2019-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2019-09-01T00:00:00,AWND,GHCND:USW00093193,",W",3.1
2019-10-01T00:00:00,AWND,GHCND:USW00093193,",W",2.0
2019-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.7
2019-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2020-01-01T00:00:00,AWND,GHCND:USW00093193,",W",1.6
2020-02-01T00:00:00,AWND,GHCND:USW00093193,",W",1.6
2020-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.6
2020-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.2
2020-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2020-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.8
2020-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.4
2020-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.0
2020-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.1
2020-10-01T00:00:00,AWND,GHCND:USW00093193,",W",1.6
2020-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.7
2020-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.7
2021-01-01T00:00:00,AWND,GHCND:USW00093193,",W",2.0
2021-02-01T00:00:00,AWND,GHCND:USW00093193,",W",2.3
2021-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.5
2021-04-01T00:00:00,AWND,GHCND:USW00093193,",W",2.9
2021-05-01T00:00:00,AWND,GHCND:USW00093193,",W",3.9
2021-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.8
2021-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.3
2021-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.0
2021-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.6
2021-10-01T00:00:00,AWND,GHCND:USW00093193,",W",2.4
2021-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.5
2021-12-01T00:00:00,AWND,GHCND:USW00093193,",W",2.3
2022-01-01T00:00:00,AWND,GHCND:USW00093193,",W",0.9
2022-02-01T00:00:00,AWND,GHCND:USW00093193,",W",1.6
2022-03-01T00:00:00,AWND,GHCND:USW00093193,",W",2.4
2022-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2022-05-01T00:00:00,AWND,GHCND:USW00093193,",W",4.2
2022-06-01T00:00:00,AWND,GHCND:USW00093193,",W",4.2
2022-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2022-08-01T00:00:00,AWND,GHCND:USW00093193,",W",3.3
2022-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.8
2022-10-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2022-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.6
2022-12-01T00:00:00,AWND,GHCND:USW00093193,",W",2.3
2023-01-01T00:00:00,AWND,GHCND:USW00093193,"3,W",2.5
2023-02-01T00:00:00,AWND,GHCND:USW00093193,",W",2.6
2023-03-01T00:00:00,AWND,GHCND:USW00093193,"1,W",3.4
2023-04-01T00:00:00,AWND,GHCND:USW00093193,",W",3.3
2023-05-01T00:00:00,AWND,GHCND:USW00093193,"3,W",3.8
2023-06-01T00:00:00,AWND,GHCND:USW00093193,",W",3.6
2023-07-01T00:00:00,AWND,GHCND:USW00093193,",W",3.3
2023-08-01T00:00:00,AWND,GHCND:USW00093193,",W",2.9
2023-09-01T00:00:00,AWND,GHCND:USW00093193,",W",2.9
2023-10-01T00:00:00,AWND,GHCND:USW00093193,",W",1.9
2023-11-01T00:00:00,AWND,GHCND:USW00093193,",W",1.5
2023-12-01T00:00:00,AWND,GHCND:USW00093193,",W",1.5
